Actor;Entidad
Localidad;Buenaventura - Localidad 1: Isla del Cascajal
Localidad;Buenaventura - Localidad 2: El Pailón
Localidad;Cartagena - Localidad de la Virgen y Turística
Localidad;Cartagena - Localidad Histórica y del Caribe Norte
Localidad;Cartagena - Localidad Industrial y de la Bahía
Localidad;Riohacha - Localidad 1 - Zona Centro
Localidad;Riohacha - Localidad 2 - Zona Sur
Localidad;Santa Marta - Localidad 1 - Cultural Tayrona - San Pedro Alejandrino
Localidad;Santa Marta - Localidad 2 - Histórica - Rodrigo de Bastidas
Localidad;Santa Marta - Localidad 3 - Turística - Perla del Caribe
Municipal;ABEJORRAL - ANTIOQUIA
Municipal;ÁBREGO - NORTE DE SANTANDER
Municipal;ABRIAQUÍ - ANTIOQUIA
Municipal;ACACÍAS - META
Municipal;ACANDÍ - CHOCÓ
Municipal;ACEVEDO - HUILA
Municipal;ACHÍ - BOLÍVAR
Municipal;AGRADO - HUILA
Municipal;AGUA DE DIOS - CUNDINAMARCA
Municipal;AGUACHICA - CESAR
Municipal;AGUADA - SANTANDER
Municipal;AGUADAS - CALDAS
Municipal;AGUAZUL - CASANARE
Municipal;AGUSTÍN CODAZZI - CESAR
Municipal;AIPE - HUILA
Municipal;ALBÁN - CUNDINAMARCA
Municipal;ALBÁN - NARIÑO
Municipal;ALBANIA - CAQUETÁ
Municipal;ALBANIA - LA GUAJIRA
Municipal;ALBANIA - SANTANDER
Municipal;ALCALÁ - VALLE DEL CAUCA
Municipal;ALDANA - NARIÑO
Municipal;ALEJANDRÍA - ANTIOQUIA
Municipal;ALGARROBO - MAGDALENA
Municipal;ALGECIRAS - HUILA
Municipal;ALMAGUER - CAUCA
Municipal;ALMEIDA - BOYACÁ
Municipal;ALPUJARRA - TOLIMA
Municipal;ALTAMIRA - HUILA
Municipal;ALTO BAUDÓ - CHOCÓ
Municipal;ALTOS DEL ROSARIO - BOLÍVAR
Municipal;ALVARADO - TOLIMA
Municipal;AMAGÁ - ANTIOQUIA
Municipal;AMALFI - ANTIOQUIA
Municipal;AMBALEMA - TOLIMA
Municipal;ANAPOIMA - CUNDINAMARCA
Municipal;ANCUYA - NARIÑO
Municipal;ANDALUCÍA - VALLE DEL CAUCA
Municipal;ANDES - ANTIOQUIA
Municipal;ANGELÓPOLIS - ANTIOQUIA
Municipal;ANGOSTURA - ANTIOQUIA
Municipal;ANOLAIMA - CUNDINAMARCA
Municipal;ANORÍ - ANTIOQUIA
Municipal;ANSERMA - CALDAS
Municipal;ANSERMANUEVO - VALLE DEL CAUCA
Municipal;ANZÁ - ANTIOQUIA
